2024-11-11,18,31,43,9,1,1,VR Headset,399.989990234375
2024-11-13,17,38,50,4,5,6,Action Camera,169.990005493164
2025-10-28,14,34,46,5,6,4,Coffee Maker,59.9900016784668
2025-10-14,11,38,50,8,7,5,Noise-Canceling Headphones,89.9899978637695
2025-03-20,13,37,49,9,4,0,Air Purifier,119.98999786377
2024-05-16,20,25,37,7,0,4,Smart Thermostat,129.990005493164
2025-05-26,17,26,38,3,10,7,Action Camera,169.990005493164
2025-05-01,18,37,49,10,1,6,VR Headset,399.989990234375
2024-02-09,2,29,41,7,4,0,Bluetooth Headphones,39.9900016784668
2025-10-30,19,35,47,4,10,1,Bluetooth Speaker,39.9900016784668
2025-06-08,11,0,12,8,3,8,Noise-Canceling Headphones,89.9899978637695
2025-07-10,2,37,48,10,9,5,Bluetooth Headphones,39.9900016784668
2026-12-06,15,38,49,1,1,9,LED Desk Lamp,18.9899997711182
2026-01-11,8,26,37,6,10,4,Digital Camera,299.989990234375
2024-06-14,3,29,40,9,1,3,4K Smart TV,499.989990234375
2026-02-07,17,32,43,2,4,5,Action Camera,169.990005493164
2024-09-13,19,45,56,2,10,0,Bluetooth Speaker,39.9900016784668
2024-01-27,19,36,47,5,0,9,Bluetooth Speaker,39.9900016784668
2026-03-24,8,29,40,10,4,2,Digital Camera,299.989990234375
2025-11-05,15,42,53,7,0,9,LED Desk Lamp,18.9899997711182
2026-07-18,16,25,36,0,6,8,Wireless Charger,22.9899997711182
2025-11-05,12,31,41,5,9,3,Electric Toothbrush,49.9900016784668
2025-09-30,15,36,46,0,6,8,LED Desk Lamp,18.9899997711182
2026-09-28,1,30,40,5,1,3,Wireless Mouse,15.9899997711182
2024-02-26,1,30,40,10,0,2,Wireless Mouse,15.9899997711182
2024-07-11,16,39,49,1,3,10,Wireless Charger,22.9899997711182
2025-06-29,4,36,46,10,3,5,Portable Charger,25.4899997711182
2026-10-20,20,26,36,1,5,9,Smart Thermostat,129.990005493164
2024-04-21,15,34,44,5,1,7,LED Desk Lamp,18.9899997711182
2024-09-29,16,34,44,9,10,3,Wireless Charger,22.9899997711182
2025-05-01,1,25,35,3,9,5,Wireless Mouse,15.9899997711182
2024-10-11,8,26,36,10,5,0,Digital Camera,299.989990234375
2026-05-05,7,26,36,10,0,8,Phone Case,12.9899997711182
2024-03-13,3,27,37,10,6,10,4K Smart TV,499.989990234375
2025-02-24,8,38,48,4,7,0,Digital Camera,299.989990234375
2025-10-19,3,45,55,0,6,0,4K Smart TV,499.989990234375
2024-09-29,4,28,37,5,2,6,Portable Charger,25.4899997711182
2025-07-28,20,35,44,0,10,5,Smart Thermostat,129.990005493164
2026-01-13,17,29,38,4,5,8,Action Camera,169.990005493164
2024-07-23,12,37,46,7,2,7,Electric Toothbrush,49.9900016784668
2025-06-19,10,39,48,5,0,5,Tablet,249.990005493164
2024-01-25,20,37,46,10,2,10,Smart Thermostat,129.990005493164
2026-12-30,8,35,44,0,3,8,Digital Camera,299.989990234375
2024-11-25,15,32,41,10,3,9,LED Desk Lamp,18.9899997711182
2024-07-25,19,31,40,8,6,8,Bluetooth Speaker,39.9900016784668
2024-10-10,2,34,43,9,4,0,Bluetooth Headphones,39.9900016784668
2024-08-19,6,0,9,8,6,2,Laptop Stand,29.9899997711182
2025-12-08,8,0,9,10,7,1,Digital Camera,299.989990234375
2025-08-05,20,31,39,0,7,0,Smart Thermostat,129.990005493164
2025-04-04,4,36,44,6,7,4,Portable Charger,25.4899997711182
2024-05-19,5,38,46,1,7,0,Gaming Keyboard,79.9899978637695
2024-05-25,14,30,38,2,3,1,Coffee Maker,59.9900016784668
2024-06-28,4,44,52,9,0,3,Portable Charger,25.4899997711182
2026-12-19,15,37,45,2,3,5,LED Desk Lamp,18.9899997711182
2025-01-12,11,30,38,6,0,9,Noise-Canceling Headphones,89.9899978637695
